,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total #= 94,Donor,Acceptor,ratio,Voc (V),Jsc (mA.cm²) or (µA.cm²),FF (%),PCE (%),Solvent,Surface aera (cm2),Donor_HOMO(ev) ,Donor_LUMO(ev),Donor_bandgap(ev),Acceptor_HOMO(ev),Acceptor_LUMO(ev),Acceptor_bandgap(ev),EffectiveEg(eV),Concentration (mg/ml),,,,,,,,,,,,,,,,,,,
1000 lux,PB2,FTCC-Br,1  1,0.943,123.8,81.1,30.2,"CB + 0,5% DIO",1,5.48,3.42,2.06,5.59,3.82,1.77,1.66,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PB2,ITCC,1  1,1.08,15.7,65.4,11,"CB + 0,5% DIO",0.06,5.48,3.42,2.06,5.62,3.77,1.85,1.71,20,,,,,,,,,,,,,,,,,,,
1000 lux,PB2,ITCC,1  1,0.951,109.3,76.6,25.4,"CB + 0,5% DIO",1,5.48,3.42,2.06,5.62,3.77,1.85,1.71,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,Y6,"1  1,2",0.822,25.2,73.2,15.3,"CF + 0,5% CN",0.045,5.45,3.65,1.8,5.6,4.1,1.5,1.35,16,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,Y6,"1  1,2",0.706,139.8,72.9,31.4,"CF + 0,5% CN",0.045,5.45,3.65,1.8,5.6,4.1,1.5,1.35,16,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,IO-4Cl,,1.24,11.6,68.1,9.8,,,5.45,3.65,1.8,5.72,3.83,1.89,1.62,,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,IO-4Cl,,1.09,85.4,78.9,23.1,,,5.45,3.65,1.8,5.72,3.83,1.89,1.62,,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",S2,LBT-DF,-,0.944,18.8,75.2,13.35,CF,0.059,5.58,3.73,1.85,5.82,4.01,1.64,1.57,-,,,,,,,,,,,,,,,,,,,
1000 lux,S2,LBT-DF,-,0.802,126.3,75.9,24.2,CF,0.059,5.58,3.73,1.85,5.82,4.01,1.64,1.57,-,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",S2,LBT-SCl,-,0.997,18.45,72.3,13.3,CF,0.059,5.58,3.73,1.85,5.75,3.96,1.62,1.62,-,,,,,,,,,,,,,,,,,,,
1000 lux,S2,LBT-SCl,-,0.864,125,74.1,25.1,CF,0.059,5.58,3.73,1.85,5.75,3.96,1.62,1.62,-,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",D18,FCC-Cl-C8,"1  1,5",1.07,16.15,76.08,13.17,CF,-,5.51,3.53,1.98,5.73,3.76,1.97,1.75,10,,,,,,,,,,,,,,,,,,,
1000 lux,D18,FCC-Cl-C8,"1  1,5",0.947,110,79.3,28.4,CF,-,5.51,3.53,1.98,5.73,3.76,1.97,1.75,10,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",D18,FCC-Cl-4Ph,"1  1,5",1.1,15.87,75.44,13.12,CF,-,5.51,3.53,1.98,5.75,3.74,2.01,1.77,10,,,,,,,,,,,,,,,,,,,
1000 lux,D18,FCC-Cl-4Ph,"1  1,5",0.972,110.5,79,29.3,CF,-,5.51,3.53,1.98,5.75,3.74,2.01,1.77,10,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",D18,FCC-Cl-6Ph,"1  1,5",1.13,13.49,61.21,9.32,CF,-,5.51,3.53,1.98,5.75,3.7,2.05,1.81,10,,,,,,,,,,,,,,,,,,,
1000 lux,D18,FCC-Cl-6Ph,"1  1,5",0.996,94.2,69.8,22.6,CF,-,5.51,3.53,1.98,5.75,3.7,2.05,1.81,10,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",CD1,PBN-10,1  1,1.29,10.1,60.8,7.93,CF + 2% CN,0.08,5.28,2.91,2.37,5.81,3.42,2.39,1.86,6,,,,,,,,,,,,,,,,,,,
1000 lux,CD1,PBN-10,1  1,1.14,105,65.4,21.7,CF + 2% CN,0.08,5.28,2.91,2.37,5.81,3.42,2.39,1.86,6,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",CD1,ITIC,1  1,0.91,16.39,58.3,8.69,CF,0.08,5.28,2.91,2.37,5.48,3.83,1.65,1.45,12,,,,,,,,,,,,,,,,,,,
1000 lux,CD1,ITIC,1  1,0.77,107,67.5,15.4,CF,0.08,5.28,2.91,2.37,5.48,3.83,1.65,1.45,12,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PTQ10,IDIC,"1  1,5",1,14,59,9.9,CF,0.0115,5.54,2.98,2.56,5.33,3.53,1.8,2.01,27.5,,,,,,,,,,,,,,,,,,,
1200 lux,PTQ10,IDIC,"1  1,5",0.84,120,56,18,CF,0.0115,5.54,2.98,2.56,5.33,3.53,1.8,2.01,27.5,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PTQ10,IDIC-Br,"1  1,5",0.92,16.3,65,10.8,CF,0.0115,5.54,2.98,2.56,5.9,4.07,1.83,1.47,27.5,,,,,,,,,,,,,,,,,,,
1200 lux,PTQ10,IDIC-Br,"1  1,5",0.73,150,64,22,CF,0.0115,5.54,2.98,2.56,5.9,4.07,1.83,1.47,27.5,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PTQ10,IDIC-S,"1  1,5",0.92,14.5,64,9.2,CF,0.0115,5.54,2.98,2.56,5.41,3.63,1.78,1.91,27.5,,,,,,,,,,,,,,,,,,,
1200 lux,PTQ10,IDIC-S,"1  1,5",0.76,104,59,15,CF,0.0115,5.54,2.98,2.56,5.41,3.63,1.78,1.91,27.5,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,ITCC,1  1,1.1,13.3,67.1,8.43,CB + 1% DIO,1.07,5.45,3.65,1.8,5.47,3.76,1.71,1.69,20,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,ITCC,1  1,0.962,95.8,72.2,22,CB + 1% DIO,1.07,5.45,3.65,1.8,5.47,3.76,1.71,1.69,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,IT-4F,1  1,0.872,20.4,68.7,12.2,CB + 1% DIO,1.07,5.45,3.65,1.8,5.66,4.14,1.52,1.31,20,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,IT-4F,1  1,0.712,113,78,20.8,CB + 1% DIO,1.07,5.45,3.65,1.8,5.66,4.14,1.52,1.31,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",CD1,N2200,2  1,0.91,9.61,58.6,5.12,CF + 1% DIO,0.08,5.28,2.91,2.37,5.77,3.84,1.93,1.44,9,,,,,,,,,,,,,,,,,,,
1000 lux,CD1,N2200,2  1,0.76,87,69,12.5,CF+ 1% DIO,0.08,5.28,2.91,2.37,5.77,3.84,1.93,1.44,9,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",CD1,PBN-14,"1  1,5",1.21,11.15,58.4,7.88,CB,0.08,5.28,2.91,2.37,5.58,3.53,2.05,1.75,10,,,,,,,,,,,,,,,,,,,
