1,,,,,,,,,,,,,,
,Donor,Acceptor,ratio,Voc (V),Jsc (mA.cm²) or (µA.cm²),FF (%),PCE (%),Toxic,Surface aera (cm2),Donor_HOMO(ev) ,Donor_LUMO(ev),Acceptor_HOMO(ev),Acceptor_LUMO(ev),Concentration (mg/ml)
1000,PB2,FCC-Cl,1,0.92,123,79.8,29.1,3,-,5.48,3.42,5.73,3.71,-
100000,PB2,FCC-Cl,1,1.08,17.3,77,14.4,3,-,5.48,3.42,5.73,3.71,-
1000,PB2,FCC-Cl,1,0.926,126,80.7,30.4,3,-,5.48,3.42,5.73,3.71,-
100000,TPD-3F,FCC-Cl,1.5,1.12,12.9,65.1,9.6,1,0.16,5.62,3.73,5.73,3.71,20
1000,TPD-3F,FCC-Cl,1.5,0.95,107.2,69.7,20.1,1,0.16,5.62,3.73,5.73,3.71,20
100000,TPD-3F,FCC-Cl,1.5,1.11,13.6,64,10.5,1,0.16,5.62,3.73,5.73,3.71,20
1000,TPD-3F,FCC-Cl,1.5,0.96,106,71,21.6,1,0.16,5.62,3.73,5.73,3.71,20
100000,TPD-3F,FCC-Cl,1.5,1.1,14.4,65,10.9,1,0.16,5.62,3.73,5.73,3.71,20
1000,TPD-3F,FCC-Cl,1.5,0.94,107,70,20.8,1,0.16,5.62,3.73,5.73,3.71,20
100000,PM6,IT-4F,-,0.91,15.96,66.41,9.31,3,0.04,5.45,3.65,5.66,4.14,-
1000,PM6,IT-4F,-,0.66,118.2,68.06,19.05,3,0.04,5.45,3.65,5.66,4.14,-
100000,PM6,PC70BM,1,0.83,19.67,67.33,10.86,3,0.04,5.45,3.65,5.87,3.91,-
1000,PM6,PC70BM,1,0.73,98.46,64.86,16.69,3,0.04,5.45,3.65,5.87,3.91,-
100000,PM6,Y6,1,0.81,25.06,68.89,13.9,3,0.04,5.45,3.65,5.6,4.1,-
1000,PM6,Y6,1,0.64,71.55,72.4,23.78,3,0.04,5.45,3.65,5.6,4.1,-
100000,PM6,Y6,1.2,0.836,26,76.9,16.8,4,0.04,5.45,3.65,5.6,4.1,7.5
1000,PM6,Y6,1.2,0.7,62.9,78.9,20.9,4,0.04,5.45,3.65,5.6,4.1,7.5
100000,PB2,FCC-Cl,1,1.06,17.6,77,14.4,3,0.04,5.48,3.42,5.73,3.71,10
1000,PB2,FCC-Cl,1,0.909,63.8,78.9,29,3,0.04,5.48,3.42,5.73,3.71,10
100000,PM6,IT-4F,1,0.872,20.4,68.7,12.2,3,1.07,5.45,3.65,5.66,4.14,10
1000,PM6,IT-4F,1,0.712,113,78,20.8,3,1.07,5.45,3.65,5.66,4.14,10
100000,PM6,ITCC,1,1.1,14.5,64.3,10.3,3,1.07,5.45,3.65,5.47,3.76,10
1000,PM6,ITCC,1,0.962,95.8,75.2,22,3,1.07,5.45,3.65,5.47,3.76,10
100000,PTQ10,IDIC,1.5,0.97,16.6,65.8,10.6,4,-,5.54,2.98,5.89,3.65,25
1000,PTQ10,IDIC,1.5,0.78,110,69.3,18.5,4,-,5.54,2.98,5.89,3.65,25
100000,PTQ10,O-IDFBR,1.5,1.35,9.06,56.05,6.87,3,0.8,5.54,2.98,5.75,3.7,20
560,PTQ10,O-IDFBR,1.5,1.21,57.7,58.5,22.6,3,0.8,5.54,2.98,5.75,3.7,20
100000,PBDB-T,BTA3,1,1.124,13.1,54.4,8.01,4,0.04,5.33,2.92,5.49,3.73,20
1000,PBDB-T,BTA3,1,0.99,95.8,71.8,23.3,4,0.16,5.33,2.92,5.49,3.73,20
100000,PM6,BTA3,1,1.276,7.6,55.2,5.35,4,0.04,5.45,3.65,5.49,3.73,20
1000,PM6,BTA3,1,1.12,65,67.1,15.9,4,0.16,5.45,3.65,5.49,3.73,20
100000,PB4,FTCC-Br,1,1.09,17.9,76.14,14.79,3,0.06,5.55,3.48,5.59,3.82,20
1000,PB4,FTCC-Br,1,0.967,119.87,82,31.09,3,1,5.55,3.48,5.59,3.82,20
100000,PB2,FTCC-Br,1,1.05,17.9,78.8,14.8,3,0.06,5.48,3.42,5.59,3.82,20
1000,PB2,FTCC-Br,1,0.943,123.8,81.1,30.2,3,1,5.48,3.42,5.59,3.82,20
100000,PB2,ITCC,1,1.08,15.7,65.4,11,3,0.06,5.48,3.42,5.62,3.77,20
1000,PB2,ITCC,1,0.951,109.3,76.6,25.4,3,1,5.48,3.42,5.62,3.77,20
100000,PM6,Y6,1.2,0.822,25.2,73.2,15.3,4,0.045,5.45,3.65,5.6,4.1,16
1000,PM6,Y6,1.2,0.706,139.8,72.9,31.4,4,0.045,5.45,3.65,5.6,4.1,16
100000,S2,LBT-DF,-,0.944,18.8,75.2,13.35,4,0.059,5.58,3.73,5.82,4.01,-
1000,S2,LBT-DF,-,0.802,126.3,75.9,24.2,4,0.059,5.58,3.73,5.82,4.01,-
100000,S2,LBT-SCl,-,0.997,18.45,72.3,13.3,4,0.059,5.58,3.73,5.75,3.96,-
1000,S2,LBT-SCl,-,0.864,125,74.1,25.1,4,0.059,5.58,3.73,5.75,3.96,-
100000,D18,FCC-Cl-C8,1.5,1.07,16.15,76.08,13.17,4,-,5.51,3.53,5.73,3.76,10
1000,D18,FCC-Cl-C8,1.5,0.947,110,79.3,28.4,4,-,5.51,3.53,5.73,3.76,10
100000,D18,FCC-Cl-4Ph,1.5,1.1,15.87,75.44,13.12,4,-,5.51,3.53,5.75,3.74,10
1000,D18,FCC-Cl-4Ph,1.5,0.972,110.5,79,29.3,4,-,5.51,3.53,5.75,3.74,10
100000,D18,FCC-Cl-6Ph,1.5,1.13,13.49,61.21,9.32,4,-,5.51,3.53,5.75,3.7,10
1000,D18,FCC-Cl-6Ph,1.5,0.996,94.2,69.8,22.6,4,-,5.51,3.53,5.75,3.7,10
100000,CD1,PBN-10,1,1.29,10.1,60.8,7.93,4,0.08,5.28,2.91,5.81,3.42,6
1000,CD1,PBN-10,1,1.14,105,65.4,21.7,4,0.08,5.28,2.91,5.81,3.42,6
100000,CD1,ITIC,1,0.91,16.39,58.3,8.69,4,0.08,5.28,2.91,5.48,3.83,12
1000,CD1,ITIC,1,0.77,107,67.5,15.4,4,0.08,5.28,2.91,5.48,3.83,12
100000,PTQ10,IDIC,1.5,1,14,59,9.9,4,0.0115,5.54,2.98,5.33,3.53,27.5
1200,PTQ10,IDIC,1.5,0.84,120,56,18,4,0.0115,5.54,2.98,5.33,3.53,27.5
100000,PTQ10,IDIC-Br,1.5,0.92,16.3,65,10.8,4,0.0115,5.54,2.98,5.9,4.07,27.5
1200,PTQ10,IDIC-Br,1.5,0.73,150,64,22,4,0.0115,5.54,2.98,5.9,4.07,27.5
100000,PTQ10,IDIC-S,1.5,0.92,14.5,64,9.2,4,0.0115,5.54,2.98,5.41,3.63,27.5
1200,PTQ10,IDIC-S,1.5,0.76,104,59,15,4,0.0115,5.54,2.98,5.41,3.63,27.5
