Donor,HOMO_D,LUMO_D,Eg_D,Acceptor,HOMO_A,LUMO_A,Eg_A,DA ratio,solvent,total solids,thickness,Temp,HTL,ETL,Voc,Jsc,FF,PCE
PTB7-Th,-5.2,-3.59,,F6IC,-5.66,-4.02,1.36,01:01.7,CF,10,,25,MoOx,ZnO,0.611,18.07,64,7.1
PTB7-Th,-5.2,-3.59,,F8IC,-5.43,-4,1.27,01:01.7,CF,10,,25,MoOx,ZnO,0.64,25.12,67.6,10.9
PTB7-Th,-5.2,-3.59,,F10IC,-5.26,-3.96,1.25,01:01.7,CF,10,,25,MoOx,ZnO,0.73,20.83,66.8,10.2
PBDTTT-C-T,-5.2,-3.34,,DC-IDT2T,-5.43,-3.85,1.55,1.2:1,o-DCB:CF (6.667:1),20,70,25,PEDOT:PSS,Ca,0.9,8.33,52.3,3.93
Pff4TBT-2DT,-5.34,-3.7,1.61,FBR,-5.83,-3.75,2.08,1:01,CB,20,120,25,MoOx,ZnO,1.12,11.5,61,7.8
Pff4TBT-2DT,-5.34,-3.7,1.61,FTTB,-5.65,-3.62,2.04,1:01,CB,20,120,25,MoOx,ZnO,1.05,10.3,45,5
Pff4TBT-2DT,-5.34,-3.7,1.61,IDFBR,-5.75,-3.7,2.15,1:01,CB,20,120,25,MoOx,ZnO,1.08,4.4,38,1.75
Pff4TBT-2DT,-5.34,-3.7,1.61,O-IDTBR,-5.5,-3.9,1.6,1:01,CB,20,120,25,MoOx,ZnO,1.07,15,62,9.95
J71,-5.4,-3.24,,TTz1,-5.59,-3.66,1.65,1:02,CF,15,100,25,MoOx,ZnO,0.9,15.43,63.18,8.77
J71,-5.4,-3.24,,TTz2,-5.45,-3.5,1.61,1:02,CF,15,100,25,MoOx,ZnO,0.92,12.75,53.73,6.3
PBDB-T,-5.23,-3.42,1.81,FTIC-C8C6,-5.62,-3.83,1.63,1:01,o-DCB,8,200,25,MoOx,PFN-Br,0.92,16.1,67.46,9.91
PBDB-T,-5.23,-3.42,1.81,FTIC-C6C6,-5.6,-3.81,1.63,1:01,o-DCB,8,200,25,MoOx,PFN-Br,0.91,16.03,63.17,9.18
PBDB-T,-5.23,-3.42,1.81,FTIC-C6C8,-5.64,-3.81,1.63,1:01,o-DCB,8,200,25,MoOx,PFN-Br,0.92,18.55,64.72,11.12
