Donor,HOMO_D,LUMO_D,Eg_D,Acceptor,HOMO_A,LUMO_A,Eg_A,DA ratio,solvent,total solids,thickness,Temp,HTL,ETL,Voc,Jsc,FF,PCE
PBDT-SF-2TC,-5.57,-3.59,1.98,IT-4F,-5.68,-4.13,,1:01,CB,,100,110,PEDOT:PSS,PFN-Br,0.93,20.73,57.45,11.07
PDBT-F,-5.39,-3.57,1.81,IT-M,-5.51,-3.91,,1:01,CF,,,100,PEDOT:PSS,PFN-Br,0.97,17.02,63.71,10.52
PDBT-F,-5.39,-3.57,1.81,IDIC,-5.69,-3.91,,1:01,CF,,,100,PEDOT:PSS,PFN-Br,0.87,17.65,71.5,11.02
PBDS-T,-5.35,-3.67,1.82,ITIC,-5.5,-3.89,,1.2:1,CB,20,100,25,MoOx,ZnO,0.98,18.23,60,10.72
PBDS-T,-5.35,-3.67,1.82,ITIC-F,-5.6,-4.01,1.55,1:01,CB,20,150,25,MoOx,ZnO,0.9,18.64,66.7,11.19
PBDS-T,-5.35,-3.67,1.82,ITIC-Th1,-5.7,-4.12,1.53,1:01,CB,20,150,25,MoOx,ZnO,0.88,19.55,70,12.04
J71,-5.4,-3.24,,IT-DM,-5.58,-3.82,1.63,1:01,CF,16,,100,PEDOT:PSS,ZrAcAc,1.015,16.74,70.9,12.05
J71,-5.4,-3.24,,ITCF,-5.59,-3.95,1.57,1:01,CF,16,,100,PEDOT:PSS,ZrAcAc,0.91,18.48,78.8,13.25
J71,-5.4,-3.24,,IT-4F,-5.63,-4.06,1.54,1:01,CF,16,,100,PEDOT:PSS,ZrAcAc,0.803,19.58,74.2,11.66
PTBFeh-BDD,-5.26,-3.46,1.8,ITIC,-5.56,-3.92,,,,,,25,PEDOT:PSS,,0.893,17.76,70.16,11.13
PTBFSdo-BDD,-5.31,-3.56,1.75,ITIC,-5.56,-3.92,,,,,,25,PEDOT:PSS,,0.928,17.24,66.1,10.57
PTBFSeh-BDD,-5.32,-3.57,1.75,ITIC,-5.56,-3.92,,,,,,25,PEDOT:PSS,,0.935,17.06,64.08,10.23
2TC-TT-BDTFT,-5.45,-3.5,1.95,m-ITIC,-5.52,-3.83,,1:01,o-DCB,16,100,120,PEDOT:PSS,PDINO,1.06,15.25,59.31,9.65
2T-TTC-BDTFT,-5.41,-3.53,1.88,m-ITIC,-5.52,-3.83,,1:01,o-DCB,16,125,120,PEDOT:PSS,PDINO,0.97,16.57,69.37,11.15
PTB7-Th,-5.3,-3.33,,ACS8,-5.54,-4.05,1.3,1:02,Toluene,20,115,25,MoOx,PFN,0.75,22.5,58.8,9.9
PB24-3TDC,-5.36,-3.58,1.91,ITIC-Th,-5.66,-3.93,,01:01.5,CB,,,25,PEDOT:PSS,C60-bissalt,0.902,16.8,68,10.3
PB68-3TDC,-5.41,-3.57,1.92,ITIC-Th,-5.66,-3.93,,01:01.5,CB,,,25,PEDOT:PSS,C60-bissalt,0.994,12.2,65,7.88
PBDB-T,-5.33,-2.92,,IDNO-IDT,-5.45,-3.65,1.95,1:01,CB,20,,140,PEDOT:PSS,Ca,1.03,2.65,34.47,1.1
PBDB-T,-5.33,-2.92,,IM1-IDT,-5.46,-4.02,1.48,01:01.5,CB,20,,140,PEDOT:PSS,Ca,0.55,5.07,47.41,1.62
PBDB-T,-5.33,-2.92,,ITAN-IDT,-5.42,-3.69,1.68,1.5:1,CB,20,,140,PEDOT:PSS,Ca,1.18,3.71,39.19,2
PBDT-3TCO,-5.5,-3.24,1.85,IT-4F,,,,1:01,CB,10,95,25,PEDOT:PSS,PFN-Br,0.88,20.96,62.7,11.52
PBDT-3T,-5.48,-3.21,1.99,IT-4F,,,,01:01.5,CB,10,95,25,PEDOT:PSS,PFN-Br,0.85,3.89,30.43,1
PTB7-Th,-5.22,-3.64,,NFDTS,-5.36,-3.92,1.41,01:01.2,CF,20,100,25,PEDOT:PSS,PFN-Br,0.67,18.77,48.9,6.15
PTB7-Th,-5.22,-3.64,,NFDTSB,-5.56,-3.85,1.4,1:01,CF,20,100,25,PEDOT:PSS,PFN-Br,0.75,20.14,63.6,9.6
PBTIBDTT,-5.47,-3.6,1.87,ITIC-F,-5.64,-4.03,1.61,1:01,CB,16,120,25,PEDOT:PSS,ZnO,0.921,16.4,74.1,11.19
PBDB-T,-5.33,-2.92,,DTNIF,-5.82,-3.92,1.63,1:01,CB,18,,25,MoOx,ZnO,0.9,13.26,72.77,8.73
PBDB-T,-5.33,-2.92,,DTNSF,-5.52,-4,1.47,1:01,CB,18,,25,MoOx,ZnO,0.92,14.49,54.62,7.15
PBTIBDTT,-5.47,-3.6,1.87,Si4TIC-F,-5.58,-4.21,1.37,01:01.5,CB,12.5,130,25,PEDOT:PSS,PDIN,0.78,18.84,69.4,10.2
PDCBT-2F,-5.6,-3.67,1.93,IT-4F,-5.67,-4.16,1.54,1:01,CF,16,95,25,MoOx,ZnO,0.92,17.8,69,11.6
PTB7-Th,,,,IDT-FBTR,-5.47,-3.65,1.67,1.5:1,o-DCB,20,,25,MoOx,ZnO,1.02,12.95,52.97,7.01
PBT-F,-5.39,-3.65,1.77,IT-4F,-5.66,-4.14,,1:01,,,95,25,PEDOT:PSS,PFN-Br,0.78,21.57,54.5,9.14
PBT-SF,-5.46,-3.58,1.76,IT-4F,-5.66,-4.14,,01:01.5,,,80,25,PEDOT:PSS,PFN-Br,0.8,21.53,60.6,10.51
PBT1-C,-5.46,-3.4,1.83,ITCPTC,-5.62,-3.96,,1:01,CF,16,110,100,PEDOT:PSS,ZrAcAc,0.94,17.2,79,12.8
PTZPF,-5.41,-3.42,2,BT-IC,-5.55,-3.88,1.43,1:01,CB,,100,120,PEDOT:PSS,PFN-Br,0.93,12.27,49,5.63
PTZPF,-5.41,-3.42,2,BT-F,-5.57,-3.97,1.42,1:01,CB,,100,120,PEDOT:PSS,PFN-Br,0.88,16.64,49,7.27
PTZPF,-5.41,-3.42,2,BT-2F,-5.6,-4,1.41,1:01,CB,,100,120,PEDOT:PSS,PFN-Br,0.84,19.29,53,8.54
P3HT,-5,-3.1,,BT3,-5.53,-3.79,1.59,01:00.3,CF,,,120,PEDOT:PSS,Ca,0.72,5.81,61,2.55
P3HT,-5,-3.1,,BTA3,-5.34,-3.28,1.76,01:00.5,CF,,,130,PEDOT:PSS,Ca,0.9,9.64,65,5.64
P3HT,-5,-3.1,,Qx1,-5.42,-3.6,1.74,01:00.6,o-DCB,,,100,PEDOT:PSS,Ca,1,6.02,67,4.03
P3HT,-5,-3.1,,Qx1b,-5.35,-3.66,1.68,0.8:1,o-DCB,,,100,PEDOT:PSS,Ca,0.95,7.34,69,4.81
PTZ1,-5.31,-3.34,1.97,ITIC,,,,01:01.5,,,90,110,MoOx,ZnO,1,14.04,65.5,9.25
P3HT,-5,-3.1,,BTA21,-5.76,-3.56,2.19,1:01,CF,,,100,PEDOT:PSS,Ca,1.07,5.35,43,2.46
P3HT,-5,-3.1,,BTA23,-5.7,-3.57,2.15,1:01,CF,,,120,PEDOT:PSS,Ca,0.9,3.98,52,1.86
P3HT,-5,-3.1,,BTA27,-6.08,-3.81,2.21,1:01,CF,,,100,PEDOT:PSS,Ca,0.6,2.89,36,0.62
PBDTTz-BP,-5.25,-3.49,1.93,ITIC,-5.48,-3.83,,1:01,CB,19.5,100,25,PEDOT:PSS,Ca,0.81,17.7,56,8.03
PBDTTz-N,-5.23,-3.52,1.95,ITIC,-5.48,-3.83,,1:01,CB,19.5,100,25,PEDOT:PSS,Ca,0.75,18,49,6.61
PBDB-T,-5.18,-3.38,,F-H,-5.42,-3.79,1.63,01:01.2,,,,,PEDOT:PSS,PDINO,0.94,15.02,67,9.59
PBDB-T,-5.18,-3.38,,F-F,-5.72,-4.13,1.59,01:01.2,CB,,150,25,PEDOT:PSS,PDINO,0.88,17.36,71,10.85
PBDB-T,-5.18,-3.38,,F-Cl,-5.62,-4.04,1.58,1:01,CB,,150,25,PEDOT:PSS,PDINO,0.87,17.61,75,11.47
PBDB-T,-5.18,-3.38,,F-Br,-5.62,-4.06,1.56,1:01,CB,,150,25,PEDOT:PSS,PDINO,0.87,18.22,76,12.05
PBDB-T,-5.33,-3.53,,DF-PCNC,-5.42,-3.81,1.54,01:01.2,CF,20,100,100,MoOx,ZnO,0.86,18.16,72.62,11.63
PBDB-T,-5.33,-3.53,,DF-PCIC,-5.49,-3.77,1.59,01:01.2,CF,20,100,130,MoOx,ZnO,0.91,15.66,72.07,10.14
PTB7-Th,-5.22,-3.64,1.58,ITCC,-5.62,-3.92,,01:01.2,CF,15,110,80,MoOx,ZnO/PFN,0.95,15.13,72,10.42
PTB7-Th,-5.22,-3.64,1.58,ITIC,-5.48,-3.83,,01:01.3,CF,25,100,25,PEDOT:PSS,PDIN,0.81,14.21,59,6.8
PTB7-Th,-5.22,-3.64,1.58,IDIC,-5.69,-3.91,,1:01,CF,12,100,25,MoOx,ZnO,0.81,10.9,56,5.24
PTB7-Th,-5.22,-3.64,1.58,IEICO-4F,-5.44,-4.19,1.24,01:01.5,CB,25,100,100,PEDOT:PSS,PFN-Br,0.74,22.8,59,10
PTB7-Th,-5.22,-3.64,1.58,SFBRCN,-5.93,-3.86,2.05,01:01.2,CB,22,100,25,MoOx,ZnO,0.9,17.25,65,10.12
PTQ10,-5.54,-2.98,1.92,IDIC,-5.74,-3.9,,1:01,CF,,130,140,PEDOT:PSS,PDINO,0.969,17.81,73.6,12.7
PBDB-T,-5.33,-3.29,,IDTIC,-5.85,-3.89,1.68,1:01,CB,20,150,25,MoOx,ZnO/PFN-Br,0.84,12.7,56.3,5.67
PBDB-T,-5.33,-3.29,,IDTTIC,-5.68,-3.84,1.51,1:01,CB,20,146,25,MoOx,ZnO/PFN-Br,0.919,17.3,70.4,11.2
PTB7-Th,,,,ITIC,,,,01:01.2,CB,20,90,25,MoOx,ZnO,0.822,14,66.2,7.62
P3HT,-4.87,-2.97,,DTFBR,-5.54,-3.68,1.74,1:01,o-DCB,15,110,100,PEDOT:PSS,ZrAcAc,0.71,8.15,62,3.68
PBT1-C,-5.43,-3.36,1.84,TPT-2F,-5.84,-4.06,1.64,1:01,CF,,,100,MoOx,ZnO,0.874,13.89,68.6,8.33
PBDB-T,-5.33,-3.53,,4TIC-4F,-5.6,-4.21,1.32,1:01,CB,20,100,130,PEDOT:PSS,C60-bissalt,0.652,21.5,57,7.99
PBDB-T,-5.33,-3.53,,6TIC-4F,-5.45,-4.14,1.24,1:01,CB,20,100,25,PEDOT:PSS,C60-bissalt,0.723,23,67,11.14
PBDB-T,-5.21,-3.41,,ITBTR-C2,-5.3,-3.7,1.52,1:01,CB,15,,25,MoOx,ZnO,0.89,13.38,58.42,6.96
PBDB-T,-5.21,-3.41,,ITBTR-C4,-5.3,-3.71,1.52,1:01,CB,,,25,MoOx,ZnO,0.9,14.75,54.15,7.33
PBDB-T,-5.21,-3.41,,ITBTR-C6,-5.3,-3.71,1.52,1:01,CB,,,25,MoOx,ZnO,0.89,15.72,57.83,8.18
PBDB-T,-5.21,-3.41,,ITBTR-C8,-5.28,-3.7,1.49,1:01,CB,,,25,MoOx,ZnO,0.9,14.74,58.47,7.85
PBDB-T2Cl,-5.51,-3.57,1.69,IDIC-4H,-5.7,-3.87,1.69,1:01,CB,10,,25,MoOx,ZnO,0.98,10.32,45.3,4.57
PBDB-T2Cl,-5.51,-3.57,1.69,IDIC-4F,-5.73,-3.93,1.66,1:01,CB,10,,25,MoOx,ZnO,0.88,13,61.91,7.1
PBDB-T2Cl,-5.51,-3.57,1.69,IDIC-4Cl,-5.78,-4.02,1.58,1:01,CB,10,,25,MoOx,ZnO,0.83,16.21,68.69,9.24
PBDB-T,-5.3,-3.41,,IT-M,-5.3,-3.35,,1:01,CB,10,100,100,PEDOT:PSS,PFN-Br,0.95,17.13,72,11.74
PBDB-T-BO,-5.38,-3.63,1.75,IT-M,-5.3,-3.35,,1:01,THF,8,100,100,PEDOT:PSS,PFN-Br,0.97,15.77,71,10.78
PBDB-BzT,-5.36,-3.61,1.75,IT-M,-5.3,-3.35,,1:01,THF,8,100,100,PEDOT:PSS,PFN-Br,0.96,17.97,70,12.1
PTB7-Th,-5.15,-3.43,1.59,IDT-BT-R2,-5.31,-3.7,1.68,01:01.5,,25,98,150,PEDOT:PSS,Ca,1.04,13.75,62.76,8.96
PTB7-Th,-5.15,-3.43,1.59,IDT-BT-RF3,-5.35,-3.78,1.64,1:02,,24,96,150,PEDOT:PSS,Ca,0.89,14.74,59.16,7.75
PTB7-Th,-5.15,-3.43,1.59,IDT-BT-RO,-5.33,-3.74,1.66,01:01.5,,20,101,150,PEDOT:PSS,Ca,1.02,13.75,60.81,8.57
PTB7-Th,-5.15,-3.43,1.59,IDT-BT-RN,-5.26,-3.62,1.71,01:01.5,,20,105,150,PEDOT:PSS,Ca,1.1,12.04,53.67,7.09
PBDB-T,-5.33,-2.92,,IDT-O-IC,-5.7,-3.79,1.69,01:01.2,o-DCB,8.8,100,25,MoOx,ZnO,0.83,10.32,55,4.74
PBDB-T,-5.33,-2.92,,spiro-IDT-O-IC,-5.68,-3.79,1.66,01:01.8,o-DCB,11.2,100,25,MoOx,ZnO,0.84,11.76,63,6.23
PBDB-T,-5.33,-2.92,,ICBF-O,-5.7,-3.75,1.9,1:01,CB,20,100,25,PEDOT:PSS,PDINO,1.06,6.82,42.6,3.11
PBDB-T,-5.33,-2.92,,ICBF,-5.64,-3.8,1.8,1:01,CB,20,100,25,PEDOT:PSS,PDINO,0.99,10.3,60.1,6.07
PBDB-T,-5.33,-2.92,,FICBF-O,-5.72,-3.85,1.81,1:01,CB,20,100,25,PEDOT:PSS,PDINO,0.96,10.59,54.5,5.54
PBDB-T,-5.33,-2.92,,FICBF,-5.66,-3.88,1.72,1:01,CB,20,100,80,PEDOT:PSS,PDINO,0.87,12.71,67,7.41
PTB7-Th,-5.22,-3.64,1.58,BT-SFIC,-5.46,-4.04,1.44,01:02.5,,,,25,MoOx,ZnO,0.77,18.46,67,9.52
PTB7-Th,-5.22,-3.64,1.58,BT-FIC,-5.48,-4.1,1.39,01:01.5,,,,25,MoOx,ZnO,0.73,21.28,65,10.1
PBZ-TS,-5.48,-2.83,1.85,ITIC,,,,1:01,,,,25,PEDOT:PSS,PDINO,0.93,16.73,52.1,8.08
PBT1-EH,-5.43,-3.43,1.84,IDTCN,-5.91,-3.94,1.67,1:01,CF,7,110,100,PEDOT:PSS,ZrAcAc,0.93,13.08,70.2,8.69
PBDB-T,-5.49,-3.69,,IDT-T,-5.57,-4.01,1.56,1:01,CB,15,90,25,MoOx,ZnO,0.952,11.21,59.62,6.36
PBDB-T,-5.49,-3.69,,IDT-3MT,-5.68,-4.16,1.52,1:01,CB,15,90,25,MoOx,ZnO,0.95,14.43,61.32,8.4
PBDB-T,-5.33,-3.53,,SiIDT-IC,-5.47,-3.78,1.69,1:01,CB,,,110,MoOx,ZnO/PFN-Br,0.92,13.53,65.56,8.16
PBDB-T,-5.33,-3.53,,IDIC,-5.53,-3.91,1.62,1:01,CB,,,110,MoOx,ZnO/PFN-Br,0.81,16.69,65.36,8.83
PBDB-T,-5.33,-3.53,,IDTBOR,-5.49,-3.93,1.56,1:02,CB,,100,130,MoOx,ZnO/PFN-Br,0.89,15.98,54.67,7.74
PBDB-T,-5.33,-3.53,,IDTBSR,-5.41,-3.88,1.53,1:02,CB,,100,130,MoOx,ZnO/PFN-Br,0.95,13.95,52.38,6.95
PBDB-T,-5.36,-3.55,1.81,TTIC,-5.75,-4.35,1.4,01:01.5,o-DCB,10,85,125,MoOx,ZnO,0.77,22.26,62,10.61
PBDB-T,-5.36,-3.55,1.81,TTIC-M,-5.68,-4.24,1.44,01:01.5,o-DCB,10,86,175,MoOx,ZnO,0.8,20.51,70,11.48
J52,-5.39,,1.93,ITIC,-5.54,-4,,01:01.5,CF,18,,25,PEDOT:PSS,PDINO,0.803,10.87,43.2,3.78
J52-Cl,-5.53,-3.59,1.94,ITIC,-5.54,-4,,01:01.5,CF,18,,25,PEDOT:PSS,PDINO,0.956,17.17,70.2,11.53
PBDB-T,,,,IDTT2F,-5.57,-4.03,1.46,1:01,o-DCB,8,100,25,MoOx,ZnO,0.81,18.51,59,8.85
PBDB-T,,,,IDTOT2F,-5.54,-3.94,1.44,1:01,o-DCB,8,97,25,MoOx,ZnO,0.85,20.87,72,12.79
PBDB-T,,,,IDTIC,-5.92,-3.93,1.7,1:01,CB,10,117,25,MoOx,ZnO,0.89,10.94,61.9,6.05
PBDB-T,-5.33,-3.53,,ITIC,-5.66,-3.97,1.59,1:01,CB,20,98,25,PEDOT:PSS,N719:PrC60MAI,0.897,16.92,65.5,9.94
PBDB-T,-5.33,-3.53,,ITCT,-5.65,-4.02,1.55,1:01,CB,20,98,25,PEDOT:PSS,N719:PrC60MAI,0.85,17.88,72.3,10.99
P3HT,-4.94,-3.06,,IDT-RCN,-5.62,-3.75,1.54,01:00.8,CB,14.4,100,25,PEDOT:PSS,Ca,0.69,7.92,63,3.42
P3HT,-4.94,-3.06,,IDT-CA,-5.59,-3.64,1.66,01:00.8,CB,14.4,100,25,PEDOT:PSS,Ca,0.84,7.77,64,4.19
PBDB-T,-5.33,-2.92,,IDTO-T-4F,-5.49,-3.88,1.45,01:01.2,CB,22,110,25,PEDOT:PSS,PDINO,0.864,20.12,72.7,12.62
PBDB-T,-5.33,-2.92,,IDTO-Se-4F,-5.48,-3.9,1.4,01:01.1,CB,20,110,25,PEDOT:PSS,PDINO,0.831,18.55,69.2,10.67
PBDB-T,-5.33,-2.92,,IDTO-TT-4F,-5.39,-3.89,1.38,01:01.1,CF,12,110,25,PEDOT:PSS,PDINO,0.856,17.21,69.4,10.21
PBDB-T,-5.33,-2.92,,IDT2Se,-5.41,-3.87,1.45,1:01,CB,20,110,80,PEDOT:PSS,PDINO,0.88,17.31,59.8,9.11
PBDB-T,-5.33,-2.92,,IDT2Se-4F,-5.51,-4,1.39,1:01,CB,20,110,80,PEDOT:PSS,PDINO,0.79,21.35,65.4,11.03
PBDT-Se-TAZ,-5.23,-3.45,1.92,ITIC,-5.48,-3.83,,1:01,CF,16,100,25,MoOx,ZnO,0.81,18.63,66.7,10.07
PBDTS-Se-TAZ,-5.29,-3.49,1.9,ITIC,-5.48,-3.83,,1:01,CF,16,100,25,MoOx,ZnO,0.84,19.51,75.1,12.31
PBDB-TF,-5.54,-3.65,,IT-M,-5.58,-3.93,1.59,1:01,CB,22,90,100,PEDOT:PSS,PFN-Br,1.02,15.79,65,10.5
PBDB-TF,-5.54,-3.65,,IT-4F,-5.67,-4.15,1.5,1:01,CB,20,90,100,PEDOT:PSS,PFN-Br,0.87,20.38,77,13.7
PBZ1,-5.27,-3.06,1.96,ITIC,-5.6,-3.85,,1:01,Toluene,,,160,MoOx,ZnO,0.74,15.7,49.8,5.8
PBZ-m-CF3,-5.49,-3.22,1.99,ITIC,-5.6,-3.85,,1:01,Toluene,,,160,MoOx,ZnO,0.94,18.4,60.2,10.4
PBDB-TF,-5.48,-3.64,1.81,HF-PCIC,-5.53,-3.83,1.5,01:01.2,CB,20,100,110,MoOx,ZnO,0.92,16.01,72.42,10.97
PBDB-TF,-5.48,-3.64,1.81,HFO-PCIC,-5.5,-3.81,1.48,01:01.2,CB,20,100,110,MoOx,ZnO,0.93,12.62,70.99,8.36
PBDB-TF,-5.48,-3.64,1.81,OF-PCIC,-5.66,-3.86,1.59,01:01.2,CB,20,100,110,MoOx,ZnO,0.91,13.76,73.37,9.09
PBDB-T,-5.33,-3.53,,DF-PCIC,-5.49,-3.77,1.59,01:01.4,,20,100,130,MoOx,ZnO/PFN,0.91,15.66,72,10.14
PBDB-T,-5.33,-3.53,,IF-TN,-5.8,-3.93,1.81,1:01,CB,10,100,80,PEDOT:PSS,PNDIT-F3N-Br,1.006,7.02,40.95,2.89
PBDB-T,-5.33,-3.53,,IDT-TN,-5.42,-4.03,1.43,1:01,CB,10,100,80,PEDOT:PSS,PNDIT-F3N-Br,0.967,13.22,45.17,5.77
PBDB-T,-5.21,-3.41,,IT-M,-5.58,-3.98,,1:01,CB,20,,120,PEDOT:PSS,PDINO,0.93,16.69,66.77,10.31
PBDB-T,-5.2,-3,,ITIC-Cl4,-5.5,-3.9,1.48,1:01,o-DCB,15,,25,MoOx,ZnO,0.74,21.5,60,9.6
PBDTS-TzBI,-5.39,-3.52,1.57,ITIC,-5.48,-3.83,,1:01,CB,20,100,130,PEDOT:PSS,PFN-Br,0.94,16.8,56.2,9.04
PBDTS-TzBI,-5.39,-3.52,1.57,ITIC-Th,-5.66,-3.93,,1:01,CB,20,100,130,PEDOT:PSS,PFN-Br,0.91,17.34,60.44,9.67
PBDB-T,-5.33,-2.92,,NFBDT-Me,-5.4,-3.78,1.58,01:00.6,CF,9.6,,25,PEDOT:PSS,PDIN,0.909,17.3,70,11
PBDB-T,-5.33,-2.92,,NFBDT-F,-5.43,-3.88,1.5,1:01,CF,,,25,PEDOT:PSS,PDIN,0.793,19.28,69.5,10.62
PBDB-T,-5.33,-2.92,,NFBDT,-5.4,-3.83,1.56,01:00.8,CF,9,100,25,PEDOT:PSS,PDIN,0.872,17.85,67.2,10.42
PBDB-T,-5.33,-3.53,,IT-DM,-5.47,-3.78,,1.5:2,CB,20,100,160,PEDOT:PSS,PFN-Br,0.95,15.95,68.7,10.41
PBDB-T,-5.33,-3.53,,SN6IC,-5.38,-3.93,1.39,1:01,CB,20,100,25,PEDOT:PSS,C60-bissalt,0.88,16.5,66,9.6
PBDB-T,-5.33,-3.53,,SN6IC-4F,-5.52,-4.11,1.32,1:01,CB,20,100,25,PEDOT:PSS,C60-bissalt,0.78,23.2,73,13.2
PTB7-Th,-5.02,-3.44,,ITIC,-5.47,-3.76,,1:02,CB,25,,25,MoOx,ZnO,0.825,14.4,66,7.8
PTB7-Th,-5.02,-3.44,,IDTT-T,-5.51,-3.51,2,1:02,CB,25,57,25,MoOx,ZnO,1.015,15.7,57,9.1
PBDB-T,-5.3,-3.4,,IDT-TBA,-5.71,-3.93,1.91,1:01,,20,100,120,MoOx,ZnO,1,11.2,57,6.4
PBDB-T,-5.3,-3.4,,IDDT-TBA,-5.91,-4,1.78,1:01,,20,100,120,MoOx,ZnO,1.03,11.6,61,7.3
PBDB-T,-5.33,-3.53,,IDT-IC,-5.78,-3.84,1.72,1:01,o-DCB,8,80,25,MoOx,ZnO,0.83,10.54,49,4.69
PBDB-T,-5.33,-2.92,,O-NTIC,-5.51,-3.67,1.7,01:00.8,CB,19.9,,25,PEDOT:PSS,PDINO,0.978,13.31,69.9,9.1
PBDB-T,-5.33,-2.92,,O-NTNC,-5.54,-3.78,1.64,01:00.8,CB,19.9,,25,PEDOT:PSS,PDINO,0.942,15.98,73.4,11.04
PBDB-T,-5.33,-2.92,,BTTFIC,-5.56,-3.95,1.58,1.5:1,o-DCB,15,106,130,MoOx,ZnO,0.935,17.74,54.3,9
PTB7-Th,-5.2,-3.56,,BTTFIC,-5.56,-3.95,1.58,1:02,o-DCB,30,101,130,MoOx,ZnO,0.871,17.67,55,8.47
PBDB-TF,-5.5,-3.61,1.83,IT-4F,-5.69,-4.07,,1:01,CB,10,100,100,MoOx,ZnO,0.84,22.2,72.5,13.5
PBDB-T,,,,NFTI,-5.46,-3.77,1.57,01:00.9,o-DCB,,,25,PEDOT:PSS,FPI,0.898,16.22,57,8.34
FTAZ,-5.38,-3.17,,F5IC,-5.82,-4.05,1.64,01:01.5,CF,12.5,,25,MoOx,ZnO/PFN-Br,0.704,14.88,53.7,5.6
FTAZ,-5.38,-3.17,,F7IC,-5.74,-4.01,1.56,01:01.5,CF,12.5,,25,MoOx,ZnO/PFN-Br,0.742,18.43,59.7,8.2
FTAZ,-5.38,-3.17,,F9IC,-5.52,-3.97,1.49,01:01.5,CF,12.5,,25,MoOx,ZnO/PFN-Br,0.873,20.2,66.4,11.7
PBDTTz-SBP,-5.46,-3.5,1.96,ITIC,-5.6,-3.93,,1:01,CB,,125,25,PEDOT:PSS,PFN-Br,0.914,18.52,71.43,12.09
PBDTTz-BP,-4.8,-2.45,1.96,ITIC,-5.6,-3.93,,1:01,CB,,125,25,PEDOT:PSS,PFN-Br,0.832,17.96,61.56,9.2
PJ1,-5.38,-3.38,2,m-ITIC,-5.54,-3.95,1.57,01:01.5,CF,,110.9,130,PEDOT:PSS,PDINO,1.031,11.1,56,6.41
PJ1,-5.38,-3.38,2,IDIC,-5.67,-4.1,1.69,01:01.5,CF,,109.1,130,PEDOT:PSS,PDINO,0.958,12,53.6,6.18
PJ2,-5.14,-3.33,1.81,m-ITIC,-5.54,-3.95,1.57,01:01.5,CF,,112.6,130,PEDOT:PSS,PDINO,0.988,16.8,62.3,10.34
PJ2,-5.14,-3.33,1.81,IDIC,-5.67,-4.1,1.69,01:01.5,CF,,110.3,130,PEDOT:PSS,PDINO,0.939,17,75.3,12.01
PJ3,-5.01,-3.26,1.75,m-ITIC,-5.54,-3.95,1.57,01:01.5,CF,,117.8,130,PEDOT:PSS,PDINO,0.96,12.7,63.5,7.76
PJ3,-5.01,-3.26,1.75,IDIC,-5.67,-4.1,1.69,01:01.5,CF,,114.5,130,PEDOT:PSS,PDINO,0.908,12.8,69.8,8.11
2D-PBTCl,-5.45,-3.6,1.58,ITIC,-5.48,-3.83,,1:01,CB,8,100,25,MoOx,ZnO,0.91,15.79,61.32,8.81
2D-PBTCl2,-5.43,-3.63,1.48,ITIC,-5.48,-3.83,,1:01,CB,8,90,25,MoOx,ZnO,0.87,14.52,58.43,7.38
PTB7-Th,-5.38,-3.7,,ITIC,-5.48,-3.83,,1:01,CB,8,90,25,MoOx,ZnO,0.82,14.76,57.09,6.91
PBClT,-5.47,-3.61,1.64,ITIC,-5.48,-3.83,,1:01,CB,8,100,25,MoOx,ZnO,1.01,13.95,60.05,8.46
PBDB-T,-5.36,-3.54,,BDCPDT-IC,-5.41,-3.87,1.53,1:01,CB,12,,25,MoOx,ZnO,0.86,16.56,65.52,9.33
PBDB-T,-5.36,-3.54,,BDCPDT-FIC,-5.52,-4,1.49,1:01,CB,12,,25,MoOx,ZnO,0.7,19.12,60.67,8.12
PBFTT,-5.47,-3.56,1.64,ITIC,-5.6,-3.85,,01:01.5,CB,20,,25,MoOx,ZnO,0.94,16,60.5,9.1
PBDB-O,-5.3,-2.82,1.55,ITIC,-5.51,-3.78,,1:01,CB,20,100,160,MoOx,ZnO,0.846,11.8,43.3,4.35
PBDB-T,-5.33,-2.92,,ITIC,-5.51,-3.78,,1:01,CB,20,100,160,MoOx,ZnO,0.899,16.8,74.2,11.21
PBDB-T,-5.31,-3.51,,BDTIT-M,-5.4,-3.85,1.55,1:01,CB,20,100,100,PEDOT:PSS,PDIN,0.903,17.56,71.3,11.31
PBDB-T,-5.31,-3.51,,BDTThIT-M,-5.35,-3.82,1.53,1:01,CB,20,100,100,PEDOT:PSS,PDIN,0.942,18.03,71.4,12.12
PBZ,-5.18,-3.22,1.96,ITIC,-5.48,-3.83,,01:01.3,CB,9,100,25,MoOx,ZnO,0.79,17.2,59,8
PFBZ,-5.36,-3.42,1.94,ITIC,-5.48,-3.83,,01:01.3,CB,9,125,25,MoOx,ZnO,0.89,18.8,62,10.4
J51,-5.26,-3.08,1.91,ITIC,-5.48,-3.83,1.59,1:02,CF,18,,25,PEDOT:PSS,PDINO,0.84,14.08,61,7.03
J60,-5.32,-3.08,,ITIC,-5.53,-3.88,,1:01,CF,20,,25,PEDOT:PSS,PDINO,0.92,9.78,57.45,5.17
J61,-5.32,-3.08,,ITIC,-5.53,-3.88,,1:01,CF,20,,25,PEDOT:PSS,PDINO,0.91,14.95,66.55,9.15
